name,email,phone_number,employee_id,position,department,salary,hire_date,employment_type,address,manager,performance_rating,skills,office_location,has_parking_pass
Kelsey Brown,ryanmartinez@example.net,5879847015,276c107f-4cf7-42a7-9027-61e494da0571,Data processing manager,Marketing,115283.72,2023-02-16,Full-time,"92981 Dawn Drive Apt. 202
South Drew, CT 86259",Melissa Walter,4.4,"['education', 'your', 'later', 'lead', 'tend']",West Rebecca,No
Jennifer Morales MD,farleybeth@example.net,001-862-321-6047x36933,cb67acc4-293f-4f7f-9f00-098ae2fcf1d3,Public relations account executive,Finance,100450.81,2020-03-17,Part-time,"902 Luke Well
Port Eric, VI 20181",Theresa Hughes,1.2,"['effect', 'energy', 'that', 'scientist', 'enough']",Kimberlyburgh,No
John Grimes,meganyu@example.org,453-508-3585,4e3fcdf2-eec4-4af6-a4f3-001e7cf53886,Tourist information centre manager,HR,56205.84,2024-11-13,Full-time,"2432 Jonathan Union
North Brian, SC 39454",Steven Collins,3.0,"['operation', 'sense', 'major', 'yourself', 'father']",Evanstown,Yes
Patrick Mills,isabellara@example.com,706-711-3840,8d02a248-2c94-4665-8ff9-47e615279ec6,Systems developer,HR,89678.18,2020-03-23,Part-time,"778 Deborah Valley Suite 768
Lake Markchester, OH 83691",Scott Lee,2.9,"['so', 'point', 'agreement', 'leave', 'career']",Juliaburgh,Yes
Thomas James,qgutierrez@example.net,764-414-6598x892,bdc2f67c-27eb-4f9b-85ec-268ee5eb5e55,Police officer,Sales,47000.17,2021-10-23,Contract,"86963 Jeffrey Mission
Port Arthur, NC 55699",Samuel Kelly,2.0,"['loss', 'culture', 'go', 'interesting', 'return']",Port Andrew,Yes
Angela Sutton,ttrevino@example.com,001-336-760-5126x882,5339dd02-fe2a-4092-93e2-f7047d582649,Radio producer,Sales,69104.83,2020-01-15,Contract,"83137 Samantha Course Suite 194
Camposbury, IA 31608",Jordan Norris,1.7,"['fill', 'knowledge', 'write', 'bar', 'almost']",Victoriahaven,No
Anthony Stewart,bakernicole@example.org,611.519.5437,47f54451-9cab-4f7c-af6a-e814f8162561,Training and development officer,Marketing,114519.56,2019-04-14,Part-time,"3509 Jo Dam Apt. 323
North Omar, WI 19400",Tammy Johnson,1.5,"['group', 'wrong', 'reality', 'big', 'back']",Bradleyfurt,Yes
Ryan Glover,changabriel@example.com,246-218-6381x508,12713788-c855-49fb-98f6-3790fa3cca4d,"Physicist, medical",Sales,90194.72,2022-06-29,Full-time,"USCGC Johnson
FPO AA 82172",Kimberly Hale,2.5,"['similar', 'should', 'late', 'when', 'source']",Rossmouth,Yes
Jonathan Lozano,alan65@example.org,856.688.0656x4166,0ae0b4bb-40ba-4f7b-85c8-cf5b25cc97db,"Surveyor, building",HR,103166.45,2015-11-03,Contract,"3213 Roy Overpass Apt. 286
Wrightview, NY 31935",Laurie Sanders,2.0,"['become', 'stock', 'model', 'worry', 'total']",Michellemouth,No
Lisa Gomez,zbrown@example.net,(396)346-4455x699,c560a4cb-4ac7-46eb-bbd4-c857b9011928,Games developer,Sales,99951.0,2022-02-17,Full-time,"USNS Vasquez
FPO AP 84675",Andrew Hancock,1.8,"['woman', 'explain', 'choice', 'but', 'hit']",Cookhaven,Yes
Chad Hernandez,collin48@example.net,(223)287-9861x580,ebefda9a-21e6-4018-be34-f344c52e5a00,"Surveyor, commercial/residential",Marketing,106481.48,2024-01-07,Full-time,"1530 Amber Field Apt. 560
Schneiderstad, AL 34788",Jesse Reed,2.2,"['later', 'Congress', 'avoid', 'medical', 'seven']",Stevensmouth,Yes
Dalton Bennett,amberwilson@example.com,7707307271,fa47757a-a8b2-41c2-a4f2-4eb1b9cfe560,Comptroller,Marketing,97930.08,2023-01-02,Full-time,"044 William Turnpike
Joshuastad, AS 85616",Stacy Hood,2.0,"['box', 'your', 'total', 'beyond', 'opportunity']",East Edwardtown,Yes
Marc Cummings,alicianicholson@example.net,285-511-2254x46285,8cf72f90-e2dd-4d85-aaf9-94eb9ec7ca4c,"Scientist, clinical (histocompatibility and immunogenetics)",Marketing,63049.91,2020-07-15,Contract,"17994 Sharon Stream Suite 161
Peterborough, VI 46521",Mary Strickland,3.7,"['study', 'boy', 'wrong', 'wall', 'event']",Lake Brendan,Yes
Marvin Barajas,william75@example.org,504.699.6365x3886,bc8b3dc5-f63b-4c11-b5dd-c058d9199c33,Geophysical data processor,Sales,66498.06,2018-10-19,Contract,"79087 Carl Heights
East Douglas, AS 07881",Patricia Martin,3.9,"['yard', 'action', 'step', 'ball', 'like']",East Catherinechester,Yes
Christopher Carter,michael86@example.net,9972209441,c7953d59-e932-43b3-b102-ec0d8481cfb9,Economist,Finance,76124.85,2023-02-12,Part-time,"29611 Marcus Tunnel Apt. 631
Howellfurt, TN 31080",Matthew Peterson,3.4,"['receive', 'positive', 'stage', 'boy', 'alone']",West Kimberly,No
Harry Kerr,dwilliams@example.org,(943)502-9113,93b39eb3-1de9-46f2-b694-cc415db22e21,Counselling psychologist,Finance,119357.46,2021-08-27,Part-time,"7551 Reyes Fall
Meyerville, ME 28288",Lori Davis,1.6,"['group', 'head', 'require', 'much', 'power']",South Laurenmouth,No
Marc Moss,william25@example.net,9145468141,60bc6e7c-713f-4aba-b751-4a5ee32ca6b9,Petroleum engineer,HR,84477.57,2022-07-08,Full-time,"2938 James Divide
East Adam, LA 25827",Sara Perry,4.4,"['author', 'treatment', 'kitchen', 'back', 'determine']",Karenport,Yes
Karen Grimes,bradley44@example.org,437.507.1644x929,4afb0b1a-831c-4eca-85d7-8826ab7a5636,Teaching laboratory technician,HR,107361.89,2015-05-10,Full-time,"37433 Sharon Port
New Andrewberg, DC 23240",Mr. Timothy Ruiz II,4.0,"['in', 'defense', 'well', 'they', 'method']",Jamesburgh,No
Susan Simpson,jeffreypierce@example.net,001-407-320-0741x88504,7390835c-8027-4fa5-a3a3-cc8e79f63d87,"Surveyor, commercial/residential",Sales,102198.9,2019-11-26,Contract,"55002 Wallace Crescent
New Steventown, AS 71881",Joseph Boone,1.5,"['city', 'next', 'do', 'get', 'network']",New Melissaton,No
Peter Smith,christophervasquez@example.net,+1-545-864-8090,f1853e6d-dfbb-451a-81fc-2518e3c3286e,Meteorologist,Sales,55780.48,2021-10-16,Full-time,"8720 Cody Green Apt. 788
South John, AR 83894",Matthew Burch,4.5,"['near', 'upon', 'water', 'moment', 'why']",Jonathantown,Yes
Ryan Howell,charlesstewart@example.org,+1-381-993-7397x65058,8f08db86-0760-49ff-b4eb-8740b8f540cc,Passenger transport manager,Sales,107059.3,2017-06-21,Contract,"PSC 3577, Box 8587
APO AA 26506",David Middleton,4.0,"['item', 'several', 'debate', 'west', 'leave']",West Angelaton,Yes
Kerry Munoz,sarahsanders@example.org,880-638-9309,02327a71-eee9-4667-b94e-c93a9245cb14,Psychotherapist,Marketing,107144.24,2022-08-21,Full-time,"94193 Baldwin Roads
West Catherine, IA 08180",Linda James,1.4,"['car', 'give', 'now', 'better', 'real']",West Paulton,No
Alisha Smith,smithlauren@example.com,+1-935-342-1085x155,540d73d2-a1b5-4549-81a1-c9af0e68b721,Physiological scientist,Finance,118787.07,2018-02-21,Full-time,"210 Jesse Hills Apt. 794
Sharonside, MO 95682",Matthew Dominguez,3.0,"['sound', 'structure', 'color', 'specific', 'process']",Danielleton,Yes
Rebecca Gonzalez,jason42@example.com,(304)746-1588x59226,555d2b50-e290-4c21-bc10-7664011b138b,"Production assistant, radio",HR,60732.13,2024-08-20,Contract,"102 Jackson Avenue Apt. 482
North Jose, NY 64143",Kaitlyn Tapia,3.4,"['draw', 'once', 'wait', 'movie', 'consider']",Lunaland,Yes
Deborah Bell,carpenterheather@example.net,(765)625-0461,9a5db390-bc28-4bba-b404-add9e752a89d,"Accountant, chartered public finance",Engineering,40583.96,2019-09-14,Part-time,"989 Elijah Ranch
Erinmouth, MI 12169",Christopher Hernandez,3.5,"['forward', 'look', 'think', 'five', 'would']",Cooperborough,Yes
Bailey Barrera,dmurphy@example.com,(802)225-7828x635,8ba4e004-39fb-409b-ae9b-885d86a179c2,Location manager,Marketing,52817.1,2023-05-04,Contract,"86157 Samantha Cliff Suite 058
North Adam, VT 83542",Mallory Lowe,1.7,"['industry', 'best', 'sing', 'none', 'knowledge']",Gailfurt,Yes
Christopher Shepherd,anthonywilliams@example.net,480.392.9547,bbdaa230-2c02-4c20-9711-389c980e0808,Exhibition designer,Engineering,119208.19,2020-07-24,Full-time,"PSC 0121, Box 0991
APO AP 29690",Brett Brown,3.7,"['college', 'able', 'old', 'herself', 'enjoy']",Port Ariel,No
David Murphy,connie01@example.net,(604)953-4324x96222,c36f8ec6-2a32-4e2a-9757-7deb7f5fb637,Archivist,HR,94058.79,2023-07-01,Full-time,"5586 Nathaniel Points Suite 816
Eileenshire, WA 73438",Jocelyn Clark,1.2,"['upon', 'green', 'finally', 'radio', 'be']",East Marcus,No
Megan Wood,cgrimes@example.net,001-452-707-1275x2247,88a13f67-2289-4720-b1a1-78c1e1586553,"Teacher, special educational needs",HR,78526.29,2024-02-11,Full-time,"489 Jonathan Lights Apt. 325
West Tracy, VI 35209",Elizabeth Escobar,3.4,"['lead', 'agreement', 'start', 'almost', 'wait']",North Juliaborough,No
Martin Mayer,wendymarquez@example.net,702.274.5755x9800,1073df90-7c34-4f83-b67d-cd56e3fb1af1,Occupational psychologist,Finance,44639.32,2015-10-06,Part-time,"416 Hall Terrace
Hamptonfort, OK 51497",Denise Horn,2.9,"['church', 'tell', 'together', 'allow', 'rather']",Port Angela,No
Robert Hunter DDS,myersaaron@example.org,001-280-588-7185x2566,2af3e421-324d-4d76-8e61-95dea7752964,Tax adviser,Engineering,101551.23,2017-03-19,Full-time,"PSC 4044, Box 1217
APO AA 71712",Tyler Knight,1.7,"['similar', 'structure', 'bank', 'catch', 'us']",Lake Brianfort,No
Brittney Arroyo,gleonard@example.com,001-737-418-6469x126,e5d81c20-0bb7-4856-99a6-c4981269e63d,Musician,HR,119659.34,2016-08-27,Full-time,"17725 Samantha Orchard Apt. 133
Timothyberg, OR 11005",Kathryn Chandler,1.8,"['challenge', 'region', 'rise', 'condition', 'glass']",Lake Kevin,No
Adrian Byrd,kurt72@example.org,412.505.8182x671,8d04bb3e-5679-4b78-9980-ce06c824bcf3,Cytogeneticist,HR,112267.51,2020-08-28,Part-time,"098 Jose Road
New Joseberg, MS 15404",Jacqueline Jordan,2.2,"['stand', 'box', 'team', 'guy', 'green']",Lake Mary,No
Sara Richard,jessicaortega@example.net,4098236478,898a706c-a3f3-4ab6-94ac-963e64090c33,Equities trader,Finance,83649.72,2021-12-04,Full-time,"Unit 1822 Box 3737
DPO AE 18893",Sarah Salazar,1.9,"['method', 'indicate', 'institution', 'protect', 'make']",Port Kevinberg,Yes
Ashley Simmons,kimberly84@example.net,+1-691-285-5750x370,96d15d3c-2eff-49db-a115-765c3d9ed959,Banker,Sales,68672.84,2015-10-07,Part-time,"92241 Jennifer Locks Suite 069
Vasquezborough, LA 92926",Gina Morris,3.7,"['social', 'few', 'recent', 'century', 'customer']",East Valerieview,Yes
Jeffrey Miller,leestephen@example.net,219.689.8090x77223,ba422ebf-38ab-4178-90b2-e4e27ce437e6,"Scientist, audiological",HR,111375.27,2015-11-11,Part-time,"USNV Campbell
FPO AP 09713",Julia Casey,3.8,"['form', 'firm', 'wonder', 'perform', 'car']",Laurahaven,No
David Underwood,garyle@example.net,922.318.0129,c28a021d-c487-41b7-a9c3-535595c7dd44,Patent examiner,HR,89566.59,2016-11-16,Full-time,"4792 Martin Via Suite 126
Shannonmouth, MD 56183",Allison French,3.4,"['many', 'level', 'most', 'week', 'field']",Port Robertshire,Yes
Andrew Thompson,ashley22@example.org,+1-954-787-1064,02995636-983b-43d6-8cab-141a1cd4444e,Public house manager,HR,63167.57,2015-06-15,Part-time,"975 Johnson Course
Thompsonshire, MP 88322",Devin Jones,3.8,"['everything', 'year', 'box', 'account', 'place']",New Ryanmouth,Yes
Sara Gray,megan05@example.net,483.912.4067x70665,2347a0df-e93c-449e-aea0-8a449cd093d8,Contracting civil engineer,Sales,70313.07,2017-01-20,Part-time,"9606 Jones Shoal Suite 654
Port Williamfurt, OH 63600",Kent Ortiz,1.9,"['executive', 'cover', 'girl', 'though', 'road']",West Tina,No
Holly Richardson,fkelley@example.net,(390)477-1432,515b45da-c1b0-4047-9a83-25ec28b584c3,Fast food restaurant manager,Engineering,97538.2,2020-03-26,Part-time,"57105 Carpenter Motorway
West Zachary, TX 23350",Jennifer Cobb,1.5,"['country', 'several', 'yourself', 'hear', 'produce']",Johnville,No
Nicole Serrano,adrianjacobson@example.com,974-501-1786,5a225385-9293-4dcc-ac32-828d6ad74a48,Community pharmacist,HR,97040.68,2022-11-10,Full-time,"5171 Kristin Trace Suite 643
Port Kerry, IN 00844",Joel Cox,1.2,"['night', 'to', 'remember', 'ago', 'girl']",Fernandezmouth,No
Benjamin Boyer DDS,lopezemily@example.net,5736947624,df395839-6dac-4e9a-ae97-085ee27f1136,Electronics engineer,Engineering,108851.67,2019-02-02,Part-time,"9868 Brian Wells Apt. 732
Stephaniemouth, NM 84006",Kaitlyn Sandoval,3.7,"['view', 'force', 'left', 'control', 'Republican']",Ericshire,Yes
Melanie Mckee,pgillespie@example.org,(636)455-7388x4488,9b3c5710-0e32-4b7c-a458-bb1f82655c93,Academic librarian,Sales,60106.29,2023-07-15,Contract,"441 Grace Land Suite 842
South Kevin, NV 35796",Dawn Bartlett,2.3,"['bring', 'race', 'glass', 'tell', 'product']",Reginaldtown,No
Heather Foster,martinryan@example.net,+1-268-546-4054,b63ddf7d-e3af-4610-8ac8-1ab625bcbbd4,Counsellor,Sales,58022.41,2019-12-18,Part-time,"532 Jeffrey Courts Apt. 658
New Eric, FL 47541",Kayla Barnes,2.4,"['management', 'hard', 'might', 'we', 'though']",Whitneyport,No
Latoya Summers,johnnyparker@example.org,+1-949-408-9575x0807,1c786ac4-1d97-4304-9d30-173510c4f92e,Engineering geologist,Sales,111447.33,2022-07-25,Part-time,"621 Martinez Cove
Port Kaylahaven, NY 94754",Martin Daniels,3.5,"['expect', 'personal', 'large', 'general', 'report']",East Rachelmouth,No
Tara Charles,stephanie22@example.net,001-357-689-4394,8efa4c52-06c4-4bc8-b3f3-f813371c94b1,Network engineer,Engineering,105466.06,2023-03-15,Contract,"98212 Russell Valleys Suite 435
South Jessica, VT 28890",Jesus Nelson,3.3,"['bring', 'factor', 'member', 'whose', 'senior']",Nicholetown,Yes
Alyssa Matthews,kimberlywhitney@example.com,(767)311-8255,5fb70803-3274-463f-9056-81b82b7683f3,Community arts worker,Finance,119543.04,2019-07-05,Full-time,"50711 Jacobson Crest Suite 244
Lake Marcusside, WV 78179",Lisa Nelson,1.4,"['Democrat', 'church', 'stay', 'but', 'consider']",Mitchellport,No
Marie Willis,rpatel@example.net,973.698.3201x805,9d69b0c7-f325-4dc7-9842-50017781887e,International aid/development worker,Sales,51429.88,2019-12-02,Part-time,"77272 Zachary Terrace
Whiteheadstad, AK 06580",Brandi Jackson,4.9,"['other', 'door', 'them', 'money', 'art']",Christophertown,Yes
Kenneth Palmer,vincentclark@example.org,206.440.4533x0857,c75aa6d7-0285-4104-99e1-bba621b3813e,Writer,HR,93235.57,2024-01-06,Full-time,"23514 Jimmy Drive Suite 794
Jeanneville, MP 88398",Andrea Morgan,4.7,"['kid', 'amount', 'color', 'customer', 'power']",Heidishire,No
David Peters,orobinson@example.com,(318)253-5449x443,acd6d36c-c6be-4c41-b0b8-7ea4c6878637,"Optician, dispensing",Engineering,57433.91,2024-02-01,Full-time,"011 Smith Expressway
Brownfurt, AZ 09723",Virginia Clark,4.5,"['forward', 'employee', 'because', 'value', 'energy']",West Maria,No
James Garcia,jefflove@example.com,(621)514-4258,40b8125f-b265-4986-b6bb-622992417eaf,Museum/gallery exhibitions officer,Sales,98336.99,2019-06-22,Part-time,"42441 Arthur Port
West Gregory, AR 41303",Mr. Jeffrey Lucas,2.1,"['same', 'property', 'former', 'light', 'miss']",Castillotown,No
Angela Burke,sharon23@example.org,(561)964-2856,3948d40d-85a2-4a30-b146-bb28ba931a8e,Careers adviser,HR,87992.15,2022-10-13,Part-time,"37182 Rachel Wells Apt. 251
New Debbieview, WV 31724",Gabrielle Brooks,3.0,"['third', 'benefit', 'born', 'design', 'Mr']",Port Williammouth,Yes
Nicole Hicks,rogersbrett@example.com,7073011248,f7a24e96-d8db-43ef-ba12-b53ac60fee1b,"Teacher, secondary school",Sales,60605.38,2020-11-14,Contract,"810 Fisher Cape
North Christopher, LA 57901",Samantha Bass,2.3,"['direction', 'its', 'former', 'social', 'home']",Sullivanchester,No
Aaron Brown,matthewdunn@example.net,845-498-8970x221,62aa8840-5bc2-4e16-8a3b-4cd754cdc2c7,Educational psychologist,Engineering,73882.05,2018-08-21,Full-time,"684 Randall Cliffs Suite 110
Travisfurt, GA 78246",Todd Black,2.8,"['anyone', 'participant', 'week', 'detail', 'form']",East Ashleymouth,Yes
Clinton Rangel,raymond08@example.com,001-542-985-1416,0025c6c1-a51a-4aa2-bb1b-4b5f46e18c93,"Education officer, museum",Engineering,110674.73,2021-06-16,Part-time,"93143 Wolfe Port Suite 654
Robinfort, IN 55980",Debra Martinez,1.7,"['compare', 'scene', 'gun', 'bed', 'some']",West William,Yes
John Fowler,mbaker@example.org,+1-698-471-9687x84649,f174831b-2077-4146-9d9d-a26510339a08,"Research officer, government",Marketing,96288.48,2021-06-13,Part-time,"9225 Brewer Knoll
North Kellyfort, HI 89479",Mr. Justin Pineda,2.8,"['data', 'collection', 'college', 'moment', 'store']",South Joseph,Yes
Donald Villanueva,charleswhite@example.org,001-699-221-2092x8561,adcd5345-69fb-4366-902c-64e951622d87,Health promotion specialist,Marketing,80435.48,2018-04-30,Contract,"75139 Moreno Common
North George, NJ 05074",Margaret Patterson,2.3,"['deep', 'theory', 'would', 'record', 'left']",Jamesport,Yes
Lisa Campbell,qjackson@example.net,605-847-2844x642,956c56b6-fc2a-4e29-957b-ddcdfbfd65ee,Chief Strategy Officer,Marketing,65172.32,2023-11-06,Part-time,"62205 Hanna Dam Suite 183
Jeremyfurt, VI 27795",Raymond Arias,2.5,"['both', 'learn', 'itself', 'determine', 'charge']",North Johnshire,No
Kristen Fisher,jill41@example.org,001-768-266-1009,c22a8b96-dcf0-459a-88e9-a0394562b725,"Administrator, sports",Marketing,91941.9,2018-06-22,Full-time,"852 Mitchell Glen
Jamesfurt, NJ 75016",Shelia Molina,4.9,"['participant', 'huge', 'study', 'painting', 'worker']",Hollymouth,Yes
Michelle Webb,keverett@example.org,932.824.8202x30008,ab6a38c2-2ced-40b3-a592-b417f7e19d97,"Chemist, analytical",Engineering,53593.09,2024-01-19,Part-time,"PSC 5734, Box 8686
APO AP 30517",April Mcgrath,1.0,"['help', 'generation', 'believe', 'us', 'produce']",Tammyburgh,Yes
Sarah Shelton,ramirezlynn@example.com,4784802379,e449f0f4-f680-4a4f-ab28-6b228f388eb7,Freight forwarder,Finance,41817.03,2016-05-02,Full-time,"370 Carlos Freeway
Port Jamesshire, RI 77627",William Johnson,4.3,"['discuss', 'sense', 'poor', 'structure', 'court']",Lake Melissaberg,No
Suzanne Mitchell,ylopez@example.org,(789)999-8429x70171,c78edd5a-a76e-4ec2-a2ee-0f853368d9eb,Financial trader,Marketing,106143.55,2021-01-18,Part-time,"0567 Sara Ranch
Port Jason, WA 54348",Jessica Monroe,2.1,"['significant', 'station', 'doctor', 'require', 'affect']",Port Vincentburgh,Yes
Kelly Guzman,michelleallen@example.net,+1-486-792-9665x80737,c7918c2b-1b9d-4203-b836-7de8f8b763e6,Government social research officer,Marketing,95331.98,2021-01-26,Full-time,"38430 Daniel Islands
Port Adam, SD 08826",David Jones,4.3,"['job', 'forget', 'sport', 'Republican', 'outside']",Underwoodfurt,Yes
Jessica Price,katherine44@example.com,+1-616-352-2130x2922,f3d5179a-9132-4747-b92a-d6d1e1c62fd3,Clinical cytogeneticist,Marketing,69596.56,2017-03-16,Full-time,"871 Danny Plaza
East Danielle, MH 34008",Mario Wu,1.0,"['sign', 'five', 'hospital', 'support', 'newspaper']",Anthonymouth,No
