name,email,date_of_birth,address,phone_number,grade,student_id,major,minor,enrollment_year,graduation_year,gender,gpa,ethnicity,marital_status,courses,student_type,scholarship,sports_teams,internship_status,social_security_number,birth_place,nationality,parents,emergency_contact,language_proficiency,previous_schools,has_student_loan
Tina Ray,andreabailey@example.net,2005-12-11,"389 Jeremy Rapids Apt. 968
Port Nancystad, WV 76983",781-400-0961x58962,D,12a94925-1643-4163-92a2-075ef6c951df,Mathematics,Sociology,1981,1972,Male,11.3,Mixed,Single,"['synthesize compelling models', 'facilitate revolutionary partnerships', 'e-enable vertical experiences']",Full-time,No,None,Currently Internship,401-93-1465,South Amybury,Australian,"{'father_name': 'Ebony Turner', 'mother_name': 'Antonio Lopez', 'contact_number': '+1-760-630-7538'}","{'name': 'Christine Hall', 'relationship': 'Sibling', 'phone_number': '8649531864'}",Spanish,"['Mills and Sons', 'Kirby, Edwards and Williams']",Yes
Gregory Smith,candace12@example.net,2004-01-24,"9595 Reyes Dale Apt. 045
South Angela, PA 59597",276-809-0716x02713,A,f1e72535-c5c6-4f0d-9eca-66048e014cab,Biology,Sociology,2009,1992,Male,4.7,Mixed,Divorced,"['repurpose value-added deliverables', 'envisioneer holistic portals', 'architect mission-critical bandwidth']",Part-time,No,Soccer,None,682-39-9913,Sanchezmouth,Canadian,"{'father_name': 'Daniel Morales', 'mother_name': 'Stacy Williams', 'contact_number': '322-693-2594x61215'}","{'name': 'Kristi Davis', 'relationship': 'Friend', 'phone_number': '+1-485-368-0588x7888'}",Spanish,"['Hodge, Mosley and Mcintosh', 'Sutton-Ellis']",No
Leah Lopez,matthew92@example.com,2002-05-21,"23493 David Trace
Watkinstown, NV 44093",960-322-7872x8115,C,45fbdcfb-c13e-4323-b0a8-de5d1c0b5c74,Chemistry,Sociology,2013,2005,Female,3.7,Asian,Married,"['productize leading-edge e-services', 'scale extensible info-mediaries', 'seize viral bandwidth']",Part-time,Yes,Soccer,Currently Internship,891-23-0977,Josephshire,British,"{'father_name': 'Amanda Flores', 'mother_name': 'Anthony Olson', 'contact_number': '910.394.4308'}","{'name': 'Patrick Lopez', 'relationship': 'Friend', 'phone_number': '693.410.0551x8530'}",German,"['Daniels LLC', 'Bell-Silva']",Yes
Vanessa Huff,cindy34@example.org,2002-12-11,"02523 Amber Plains Apt. 175
Webbshire, NY 07130",3792750930,A,b34b3be7-3ea6-4a3e-bcd6-482ab7702527,Chemistry,Economics,1987,1970,Male,11.2,Asian,Single,"['matrix magnetic e-services', 'engineer virtual content', 'morph leading-edge e-services']",Full-time,Yes,Football,Currently Internship,122-80-7504,Adamsland,Canadian,"{'father_name': 'Timothy Brooks PhD', 'mother_name': 'Peggy Buck', 'contact_number': '+1-262-706-1779'}","{'name': 'Chase Floyd', 'relationship': 'Parent', 'phone_number': '+1-804-453-8164'}",Mandarin,"['Bradley-Bennett', 'Conrad, Scott and Smith']",No
Mr. Steven Landry,jasonwarren@example.com,2006-03-07,"16484 Henson Cape Apt. 639
Lake Matthew, LA 62280",001-231-528-4019,C,c85bc233-dcd7-4534-bd55-0906a69aea58,Physics,Psychology,1972,2011,Non-binary,11.8,Caucasian,Married,"['empower wireless supply-chains', 'deliver global paradigms', 'deliver customized info-mediaries']",Part-time,No,None,Currently Internship,881-91-5580,South Amyview,American,"{'father_name': 'Brandon Carney', 'mother_name': 'Eric Mitchell', 'contact_number': '001-809-256-9085'}","{'name': 'Ashley Henderson', 'relationship': 'Friend', 'phone_number': '001-622-384-1844'}",Spanish,"['Myers, Flores and Henry', 'Le LLC']",Yes
Derek Hale,bryancarter@example.net,2004-08-08,"7407 Andrew Path Suite 496
Antoniotown, OR 20503",662-217-6415,A,014bd8a8-6a8e-44e7-a5ba-66b1c345a872,Engineering,Sociology,2022,2019,Female,11.9,Caucasian,Single,"['deploy clicks-and-mortar functionalities', 'synergize one-to-one e-business', 'evolve holistic applications']",Full-time,Yes,Soccer,None,432-52-3767,Hectorside,Canadian,"{'father_name': 'Stephanie Barnes', 'mother_name': 'Eric Thomas', 'contact_number': '(900)289-4395'}","{'name': 'Charles Lewis', 'relationship': 'Sibling', 'phone_number': '209-402-4876'}",Spanish,"['Ruiz, Schultz and Porter', 'Jackson PLC']",No
Michael Mclean,npayne@example.com,2003-04-15,"0592 Rebecca Cape Apt. 006
Ritterland, KY 56621",001-695-605-7476x288,B,fd14ca43-8dd8-479f-aed1-22fb4a8bd33c,Chemistry,Music,2022,2022,Female,9.1,Caucasian,Married,"['monetize efficient technologies', 'productize real-time niches', 'facilitate e-business e-tailers']",Full-time,Yes,Basketball,Currently Internship,114-02-8349,Richardfurt,British,"{'father_name': 'Jaime Mueller', 'mother_name': 'Barbara Barrera', 'contact_number': '526-580-3353x560'}","{'name': 'Judy Velazquez', 'relationship': 'Parent', 'phone_number': '291.968.3788x37940'}",German,"['Cole, Thomas and Freeman', 'Trujillo-Kennedy']",No
Frederick Johnson,imorales@example.com,2002-09-21,"909 Thomas Brook
Nicolefort, GU 31292",805.637.1357,D,cb480b5f-8539-4bcf-9377-bf22b5f2d15f,Mathematics,Psychology,2014,1970,Non-binary,5.0,Hispanic,Divorced,"['synergize sticky partnerships', 'deliver dynamic e-commerce', 'brand cross-platform interfaces']",Full-time,Yes,Football,Completed Internship,296-40-0402,Lake Anthonyport,Australian,"{'father_name': 'Andrew White', 'mother_name': 'Tyler Garcia', 'contact_number': '896.698.7443'}","{'name': 'Gloria Wilson', 'relationship': 'Friend', 'phone_number': '+1-946-229-6744x17807'}",Mandarin,"['Caldwell Group', 'Ortega, Barnes and Santana']",No
Dylan Donaldson,ledouglas@example.com,2003-02-21,"69777 Cynthia Ports
Andrewview, CA 86455",(720)943-3488x396,A,a7817500-2be2-4171-85ae-5bb8df1cc54b,Chemistry,Philosophy,2016,1972,Non-binary,2.8,African American,Divorced,"['maximize global info-mediaries', 'transition visionary deliverables', 'streamline next-generation ROI']",Full-time,No,Football,Completed Internship,668-42-1143,Selenachester,German,"{'father_name': 'Roberto Foster', 'mother_name': 'Melissa Garcia', 'contact_number': '001-978-745-5926x436'}","{'name': 'Michael Wheeler', 'relationship': 'Other', 'phone_number': '001-841-477-8952x4678'}",Other,"['Walters-Campbell', 'Jarvis-Andrews']",No
Lori Wade,james15@example.org,2005-10-17,"831 House Station
Morgantown, RI 72995",640-884-6123x6264,F,c68fad14-aab9-4ae9-9f80-bfaad695efcb,Mathematics,Sociology,1995,2009,Male,7.2,Asian,Divorced,"['target efficient experiences', 'synthesize scalable paradigms', 'synthesize vertical synergies']",Part-time,No,Soccer,Completed Internship,453-63-3920,Haleside,German,"{'father_name': 'Mark Davis', 'mother_name': 'Michael Powell', 'contact_number': '(438)361-3969x619'}","{'name': 'Teresa Gomez', 'relationship': 'Other', 'phone_number': '001-684-244-8252x28137'}",German,"['Sawyer Ltd', 'Parker, Graham and Ryan']",No
Harold Wright,jamie53@example.org,2002-05-20,"3826 Jason Square Apt. 187
Murphyton, AK 54085",(914)809-7695x475,F,e1009ad5-0770-46b9-8d38-caf526508e85,Engineering,Philosophy,1983,1980,Non-binary,5.5,Other,Married,"['harness dynamic synergies', 'incentivize bleeding-edge functionalities', 'facilitate visionary web-readiness']",Part-time,Yes,Basketball,Completed Internship,453-94-7415,East Brandonhaven,American,"{'father_name': 'Cheryl Cisneros', 'mother_name': 'Steven Brown', 'contact_number': '973-214-6536x92754'}","{'name': 'Richard Rodriguez', 'relationship': 'Sibling', 'phone_number': '6929612166'}",Spanish,"['Hanson Group', 'Hoffman, Malone and Green']",Yes
Patrick Russell,timothy94@example.org,2005-11-01,"931 Jennifer Passage Apt. 522
North Walter, GU 38062",(804)848-7759,B,c97e45e1-5fa0-4fa1-b468-7669fd1bf482,Physics,Art History,2016,2018,Female,10.6,Asian,Married,"['evolve best-of-breed content', 'empower viral action-items', 'orchestrate global models']",Full-time,Yes,Basketball,Completed Internship,788-23-4989,West Amyberg,German,"{'father_name': 'Jeffrey Daugherty', 'mother_name': 'Rebecca Smith', 'contact_number': '(861)441-5302x60138'}","{'name': 'Marisa Nicholson', 'relationship': 'Parent', 'phone_number': '+1-239-877-1848'}",Other,"['Welch Inc', 'Page, Andrews and Miles']",No
Jane Ortiz,sherryvillegas@example.com,2006-06-13,"Unit 4690 Box 1549
DPO AA 83713",7573404101,F,1834676c-cd00-4afc-a2cd-03866c3e46de,Mathematics,Sociology,1983,2004,Non-binary,2.2,Other,Single,"['monetize bricks-and-clicks initiatives', 'evolve dot-com bandwidth', 'expedite ubiquitous infrastructures']",Part-time,No,Basketball,Completed Internship,839-87-1941,South Nathanfurt,Australian,"{'father_name': 'Erin Mitchell', 'mother_name': 'Nathan Yates', 'contact_number': '001-818-667-5560x6044'}","{'name': 'Pamela Blackburn', 'relationship': 'Parent', 'phone_number': '001-299-225-4609x45987'}",French,"['Young Inc', 'Hill and Sons']",No
Michael Poole,idavis@example.com,2006-01-01,"190 Ramos Ridge
Port Ericport, NH 25741",001-203-299-5148,B,960e9d22-304b-4ceb-9b59-df6faff86ec2,Mathematics,Economics,2022,2004,Non-binary,9.1,Other,Single,"['leverage customized schemas', 'empower sticky technologies', 'brand B2B paradigms']",Full-time,Yes,Football,Currently Internship,061-47-1508,Johnsonland,German,"{'father_name': 'Alexander Gonzalez', 'mother_name': 'Donna Lynch', 'contact_number': '732.223.7091x226'}","{'name': 'Holly Harper', 'relationship': 'Sibling', 'phone_number': '(264)270-5695x28653'}",Other,"['Day Ltd', 'Hood, Summers and Bowen']",No
Tracey Hall,nicole42@example.net,2002-07-26,"76642 Walsh Spur Apt. 849
South Wanda, CA 36949",+1-619-530-2886x47340,F,5ab89814-c1d8-4c05-887a-47f462adaea9,Biology,Economics,1974,2001,Male,11.4,Other,Single,"['e-enable visionary architectures', 'leverage end-to-end architectures', 'mesh bleeding-edge e-markets']",Full-time,No,None,Completed Internship,143-93-1694,Craigview,Canadian,"{'father_name': 'Anthony Key', 'mother_name': 'Daniel Brown', 'contact_number': '001-773-860-9883'}","{'name': 'Mary Smith', 'relationship': 'Friend', 'phone_number': '(639)528-6807x210'}",Other,"['Mitchell-Fitzpatrick', 'Moore Inc']",No
Michael Ray,pnelson@example.com,2002-05-19,"1269 Howell Islands
New Frederick, UT 46580",001-948-368-5098x61035,D,e45187b1-990a-4b3c-b569-f440e0a77cdc,Chemistry,Music,2021,1979,Male,5.7,Caucasian,Single,"['architect magnetic convergence', 'maximize mission-critical deliverables', 'whiteboard viral e-tailers']",Part-time,Yes,None,Currently Internship,295-69-9451,North Eric,Canadian,"{'father_name': 'Erin Williams MD', 'mother_name': 'Jacqueline Terrell', 'contact_number': '906-919-1821x5738'}","{'name': 'Sherry Tran', 'relationship': 'Parent', 'phone_number': '+1-306-439-1472x08087'}",French,"['Turner, Conley and Mueller', 'Cooper, Allen and Lee']",No
Leslie Brewer,bowmancourtney@example.com,2004-09-22,"5752 Christopher Burg Suite 065
West Miranda, CO 19449",001-428-337-8001x94870,A,768953b1-b4b0-4329-8595-5d903f2fc334,Mathematics,Music,2006,2006,Male,11.2,African American,Single,"['syndicate proactive users', 'evolve vertical deliverables', 'facilitate innovative communities']",Part-time,Yes,None,Currently Internship,458-88-8577,Port Lindamouth,American,"{'father_name': 'Jeremy Rivers', 'mother_name': 'Andrew Miller', 'contact_number': '001-953-883-1243x8620'}","{'name': 'Alexis Foster', 'relationship': 'Other', 'phone_number': '001-540-872-9924x973'}",English,"['Wilkinson LLC', 'Jackson PLC']",Yes
